A	archive file	ar (Unix)
MEX[7]	MEX file (executable command)	Matlab
MGF[8]	Materials and Geometry Format	
MID	Standard MIDI file	music synthetizers, Winamp
MM[2]	Source code	Objective-C++
MMPZ	LMMS Compressed Project File	LMMS
MNT	Surface metrology or image analysis document	MountainsMap
MOBI[9]	eBook	Mobipocket, Kindle
MOD	AMPL model file	AMPL
MOD	Modula language source	
MOD	MODULA-2 source code file	Clarion Modula-2
MODULES	Module	GTK+
MOL	MDL Molfile	RasMol
MOL2[10][11]	Tripos Sybyl MOL2 Format	SYBYL, RasMol
MOP	MOPAC input file	MOPAC, RasMol
MOV[12]	Animation format (Mac)	QuickTime, AutoCAD AutoFlix
MP2[13][14]	Mpeg audio file	Winamp, xing
MP3[15][16]	MPEG audio stream, layer 3	AWAVE, CoolEdit(+PlugIn), Winamp, many others
MP4[17]	multimedia container format, MPEG 4 Part 14	Winamp
MPA	MPEG audio stream, layer 1,2,3	AWAVE
MPC	Musepack audio	
MPD	LDraw file (multi-part DAT file)	LDraw
MPEG[18][19][20]	multimedia containter format, video, audio	MPEG Player, Winamp
MPG	see MPEG	
MSC	management saved console[21]	Microsoft; Microsoft MMC[22]
MSDL[23]	Manchester Scene Description Language	
MSF[24][25]	Multiple sequence file (Pileup format)	
MSI	Windows Installer Package	Windows operating systems
MSO	Microsoft Outlook metadata for a Microsoft Word 2000 email attachment[26]	Microsoft Outlook
MXF[27][28]	Material exchange format (RFC 4539, SMPTE 377M)	
MYD	a MyISAM data file in MySQL	MyISAM, MySQL
MYI	a MyISAM index file in MySQL	MyISAM, MySQL

NB	Wolfram Mathematica Notebook (see Wolfram Language)	Mathematica
NC	Binary Data	netCDF software package
NC	Instructions for NC (Numerical Control) machine	CAMS
NC	Name code program	namec-git/namec software package
NCD	NC Drill File (Excellon Format, printed circuit board hole definitions)	Most PCB layout software
NEF[29]	Nikon RAW image format	Nikon cameras
NEIS	Korean Student Record Document	(Student Record Writing Program)
NEO	Raster graphics file	Atari Neochrome
NEU	Pro/Engineer neutral file format	PTC Pro/Engineer
NIM	Nim source code file	Nim
nmf	Node Map File	Used by SpicyNodes
NPR	Nuendo Project File	Steinberg Nuendo
NRW[30]	Nikon Coolpix RAW image	Nikon
NS1	NetStumbler file	NetStumbler
NSA	media	Nullsoft Streaming Audio
NSV	media	Nullsoft Streaming Video
NUMBERS	Numbers spreadsheet file	Numbers

O	Object file	UNIX - Atari - GCC
OBJ	Compiled machine language code	
OBJ	Object code	Intel Relocatable Object Module
OBJ	Wavefront Object	
OBS	Script	ObjectScript
OCX	OLE custom control	
OPUS	Ogg/Opus audio file	mpv, mplayer, many others (official file format).
ORG	Emacs Org mode	Emacs Org mode major mode
ORG	Older Origin Project	Origin versions 4 or earlier
OSC	OpenStreetMap Changeset	OpenStreetMap
OSM	OpenStreetMap data	OpenStreetMap
OSM	OpenStreetMap note	OpenStreetMap
OST	Offline Storage Table	Microsoft e-mail software: Outlook Express, Microsoft Outlook
OTB	Over-the-air bitmap graphics	
OTL	The Vim Outliner	A vim plugin
OV2	Overlay file (part of program to be loaded when needed)	TomTom Point of Interest
OWL[31][32]	Web ontology language (OWL) file	Protégé and other ontology editors
OXT	OpenOffice.org extension	OpenOffice.org / LibreOffice

P	Database PROGRESS source code	PROGRESS
P	PASCAL source code file	
P	Parser source code file	
P10	Certificate Request	
P12	Personal Information Exchange	"Crypto Shell Extensions"
PACK[33]	Pack200 Packed Jar File	
PAGES	Pages document file	Pages
PAK	Archive	Pak
PAL	Paint Shop Pro color palette (JASC format)	PaintShop Pro, XnView
PAM	PAM Portable Arbitrary Map graphics format	Netpbm
PAR	Parity Archive	[34]
PAR2	Parity Archive v2	[35]
PAS	Pascal language source	Borland Pascal
PBLIB	Power Library	PowerBASIC
PBO	A file type used by Bohemia Interactive	Arma 3, PBO Manager
PCL[36][37]	HP-PCL graphics data file	HP Printer Command Language
PCS	PCSurvey file	PCSurvey by Softart - Land Surveying Software
PDB[38]	debugging data	Microsoft Windows
PDB[39]	Molecule (protein data bank)	
PDE	source code file	Processing programming language
PDF	Adobe's Portable Document Format	Adobe Acrobat Reader
PDI	Portable Database Image	
PDM	Program	Deskmate
PDM	PowerDesigner's physical data model (relational model) file format	PowerDesigner
PDM	Visual Basic (VB) Project Information File	Visual Basic
PDN	Image file	Paint.NET
PDS	PALASM Design Description	
PDS	Planetary Data System Format	
PEM	A text-based certificate file defined in RFC 1421 through RFC 1424[40]	Applications that need to use cryptographic certificates, including web-servers
pet	package[41]	Puppy Linux
PFA	PostScript Font File	
PFA	Type 3 font file (unhinted PostScript font)	
PFAM	PFAM format[42]	
PFB	PostScript font	Adobe Type Manager (ATM)
PFC	(Personal Filing Cabinet) contains e-mail, preferences and other personal information	AOL
PFM[43]	PostScript Type 1 font metric file	Microsoft Windows, Adobe Acrobat Reader
PFM[43]	Windows Type 1 font metric file	
PGN[44]	Portable Game Notation -Text specification for Chess game	Most chess playing computer applications
PFX	An encrypted certificate file[40]	Applications that need to use cryptographic certificates, including web-servers
PGL	HP Plotter vector graphics format	
PHP	PHP file	
PHP3	PHP 3 file	
PHP4	PHP 4 file	
PHY	Phylip format[42]	
PHF	Database File	Nuverb Systems Inc: Donarius
PHR	Phrases	LocoScript
PI2	Portrait Innovations High Resolution Encrypted Image file	Portrait Innovations Studio2 (proprietary)
PIE	GlovePIE script file	GlovePIE
PIR	PIR format[42]	
PIT	Compressed Mac file archive created by PACKIT	unpackit.zoo
PIT	Partition Information Table for Samsung's smartphone with Android	Odin3
PKL	Pickle file	Python object serialization
PKA	Archive	PKARC
PL	Perl source code file	
PL	Prolog source code file	
PL	IRAF pixel list	IRAF astronomical data format
PLI	PL/I source file	PL/I compilers
PM[45]	Perl module	
PMA	PMarc Archive	
POM[46]	Build manager configuration file	Apache Maven POM file
PPTX	MS Office Open-XML Presentation	Microsoft PowerPoint[47]
PPSX	MS Office Open-XML Auto-Play Presentation	Microsoft PowerPoint
PRJ	Mkd (Unix command)	Mkd project file to extract documentation
PROTO[48]	Message specification	Google Protocol Buffers
PRP	Plasma Registry Page	Plasma (engine)
PSD[49]	Photoshop bitmap file	Photoshop document
PSM1[50]	Windows Powershell module	Windows Powershell
PSPPALETTE[51]	Paint Shop Pro color palette (JASC format)	Paint Shop Pro 8.0 and newer
PST	Archive File	Microsoft Outlook
PS1	Windows Powershell script[50]	Windows PowerShell
PTF	PlayStation Portable Theme file	PSP Theme settings menu
PTF	Pro Tools Session File	Digidesign Pro Tools
PUB	Public key ring file	Pretty Good Privacy RSA System
PUF	Package Update File (Device firmware package, in ZIP format)	Crestron Toolbox
PUP[24][25]	Pileup format	
PY	Python script file	Python (programming language)

QFX	Quicken-specific implementation of the OFX specification	Intuit Quicken
